# VM invoker: C:\Program Files\Java\jdk1.8.0_65\jre\bin\java.exe
# VM options: -Dfile.encoding=UTF-8
# Warmup: 3 iterations, 1 s each
# Measurement: 50 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Sampling time
# Benchmark: org.ucsc.capnp.bench.RunCapnpCar.CapnpUse

# Run progress: 0.00% complete, ETA 00:08:50
# Fork: 1 of 10
Iteration  26: n = 18171, mean = 1033 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 2136, 5128, 5984, 5984 ns/op
Iteration  27: n = 18651, mean = 1010 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1282, 2136, 3766, 5984 ns/op
Iteration  28: n = 18376, mean = 1021 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 5560, 6547, 7264 ns/op
Iteration  29: n = 18403, mean = 1064 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 2992, 122175, 691200 ns/op
Iteration  30: n = 18236, mean = 1033 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 2992, 3420, 16745, 17088 ns/op
Iteration  31: n = 18358, mean = 1025 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 2136, 2992, 9592, 17088 ns/op
Iteration  32: n = 18362, mean = 1026 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 2992, 6721, 19232 ns/op
Iteration  33: n = 18077, mean = 1042 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 2992, 3815, 12141, 38016 ns/op
Iteration  34: n = 18231, mean = 1031 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 2992, 3321, 3848, 3848 ns/op
Iteration  35: n = 18355, mean = 1023 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 2992, 5128, 5128 ns/op
Iteration  36: n = 18421, mean = 1111 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 2992, 608631, 1107968 ns/op
Iteration  37: n = 18451, mean = 1018 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 2992, 3486, 3848 ns/op
Iteration  38: n = 18372, mean = 1020 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 2564, 2992, 3698, 5128 ns/op
Iteration  39: n = 18340, mean = 1029 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 3420, 15992, 53440 ns/op
Iteration  40: n = 18268, mean = 1063 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 2992, 125623, 644096 ns/op
Iteration  41: n = 18298, mean = 1028 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 2992, 2992, 3493, 3848 ns/op
Iteration  42: n = 18251, mean = 1032 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 5984, 7960, 13248 ns/op
Iteration  43: n = 18324, mean = 1027 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 2992, 18816, 18816 ns/op
Iteration  44: n = 18421, mean = 1021 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 2992, 3488, 3848 ns/op
Iteration  45: n = 18320, mean = 1025 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 2992, 2992, 3420, 3420 ns/op
Iteration  46: n = 18359, mean = 1027 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 2992, 5630, 5984 ns/op
Iteration  47: n = 18405, mean = 1020 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 2992, 3965, 6840 ns/op
Iteration  48: n = 18452, mean = 1019 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 2992, 5668, 17952 ns/op
Iteration  49: n = 18309, mean = 1030 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 2949, 2992, 17158, 17504 ns/op
Iteration  50: n = 18414, mean = 1060 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1284, 5560, 118681, 714752 ns/op

# Run progress: 10.00% complete, ETA 00:09:40
# Fork: 2 of 10
# Warmup Iteration   1: n = 27020, mean = 1812 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 2136, 2136, 3848, 82906, 1581362, 3661824 ns/op
# Warmup Iteration   2: n = 17556, mean = 1070 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1710, 2136, 3848, 21999, 35904 ns/op
# Warmup Iteration   3: n = 18763, mean = 1009 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 2136, 2992, 6725, 8976 ns/op
Iteration   1: n = 18732, mean = 1008 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 2992, 5453, 7696 ns/op
Iteration   2: n = 18779, mean = 1047 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 4704, 109209, 784384 ns/op
Iteration   3: n = 18700, mean = 1011 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 4704, 6575, 7696 ns/op
Iteration   4: n = 18695, mean = 1036 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 2992, 72247, 528384 ns/op
Iteration   5: n = 18664, mean = 1044 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1284, 2992, 112357, 716800 ns/op
